DocChineseName,DocEnglishName,DocRegisteredSpecialty,Author, WaitingTime,ConsultationPurpose,Fee,VisitReason,ConsultationDate,Sentiment,Experience,Recommendation,OtherComment,OverallScore,Professionalism,TargetedTreatment,ReasonablePrice,WorthRecommending
區志立醫生,Dr AU CHI LAP,家庭醫學,Ivory,,,,,,,,,"在太古坊返工,下午唔舒服去睇Dr Au ,第一次睇佢,診症細心專業,比起我睇開d屋村醫生好好多",8.6,9,9,8,不予置評
區家駒醫生,"Dr AU KA KUI, GARY",普通科,Mr.Yip,需預約等候片刻,傷風感冒 皮膚,,恆常光顧經驗,2022年1月--,態度有失、醫德有損,診証時間極其急趕，快來快去,在無其他選擇下可一試,,4.6,3,3,8,不予置評
區家駒醫生,"Dr AU KA KUI, GARY",普通科,au,需預約等候片刻,家庭醫生,,隨機方便嘗試,2021年----,態度有失、醫德有損,只知取藥付費，未能盡釋疑慮,本人絕對不會再作光顧,無良醫生！唔係做醫生係做生意睇左2分鐘醫生，求其開止痛藥話要轉介去化驗，之後診所姑娘要我馬上透過佢地預約並比二千多元費用去化驗，因為唔清楚所以拒絕！當我拒絕左之後姑娘馬上黑面，仲話連張化驗紙唔會比我！佢地居然話因為唔透過佢地約所以唔會比化驗紙我，同埋而家醫生寫左既轉介信，但佢地都唔肯定出面化驗所認唔認可，即係我比左$460，因為唔用佢地既化驗所，就乜都無！？首先從來無同意透過他們預約，第二佢地連化驗所名字化驗內容都無話我知，第三點解我一定要用佢地所揀既化驗所，唔可以出去搵其他化驗所？第四點解唔即場比錢佢地就連化驗紙都唔比我？最後姑娘都無話可說，只係話如果出面唔認受張轉介信，可以再番去搵佢地拎番！明明病左已經好辛苦，去睇醫生仲要一肚氣記住胡姑娘，佢對病人態度真係一流！,1.0,1,1,1,值得推介
區家駒醫生,"Dr AU KA KUI, GARY",普通科,病人,不設預約等候片刻,眼睛疾病,,其他網絡途徑,2019年6月--,態度有失、醫德有損,醫護之語調態度令人無所適從,本人絕對不會再作光顧,1.隨便開重性藥物，如抗生素。 2.對病人描述病況時沒有耐性。 3. 得知使用醫療卡， 將藥費增加。 醫德十分有問題。,2.0,2,2,2,不予置評
區家駒醫生,"Dr AU KA KUI, GARY",普通科,Mr.S,需預約準時,耳鼻喉疾病,~ $ 500,初次光顧,2017年3月26日,態度有失、醫德有損,診証時間極其急趕，快來快去,本人絕對不會再作光顧,"Terrible Terrible Terrible!!! Didn't explain anything at all especially on the medicine (Antibiotics).  I do research by myself and found out all the headache and diarrhoea was caused by the med. However I went to see him twice, he didn't explain anything to me. Horrible.",1.3,1,1,2,不予置評
區家駒醫生,"Dr AU KA KUI, GARY",普通科,Ms Wong,不設預約等候片刻,傷風感冒,,初次光顧,2013年1月7日,判症快捷、合情合理,醫生會從病人出發去提供意見,想充分掌握病情者應試,"Ive been going to this doctor for 8 years, everytime i got sick, hes the only one that is like a guarantee to full recovery in the shortest possible time. He doesnt abuse antibiotics which I admire too.His attitude is always truthful and straight forward, he makes sure I understand what is going on with me each time. I understand that hes not necessarily the most kind and sympathic doctor in the world, but hes effective and practical. I don't visit other doctors anymore, they are waste of time and money comparing to Dr Au!",10.0,10,10,10,值得推介
區家駒醫生,"Dr AU KA KUI, GARY",普通科,Mr.K,需預約準時,傷風感冒,,初次光顧,2013年8月--,態度有失、醫德有損,求診病人實在太多，等候需時,本人絕對不會再作光顧,"Extremely horrible attitude when I wanted to confirm if heard him right.  He rudely said :"" do you have hearing problem?  Why are you asking me again?""  Also, he did not check my symptoms throughly.I will not ever go see this doctor again.",2.6,2,1,5,不予置評
區嘉麗醫生,"Dr AU KA LAI, KELLY",婦產科,訪客,需預約等候片刻,婦科疾病,~ $ 800,初次光顧,2017年----,態度有失、醫德有損,醫護之語調態度令人無所適從,本人絕對不會再作光顧,我因為有婦科炎而其他醫生都full咗所以去睇區醫生，但醫生一開始已經語氣好差及串，然後叫我去除褲坐上去做檢查，但佢只係用手指指一指更衣室既方向，仲要係望住張檯d野咁指，而我係第一次睇佢，根本唔知佢致更衣室具體位置所以問咗佢兩三次「係咪呢度？」佢語氣不耐煩，但又唔會叫護士或者佢自己帶一帶我，令我感覺真係好差，此醫生俾人感覺係趕客，唔想做，我睇完後覺得唔值，所以上網睇下有冇佢評價，點知係度見到大家都一致覺得佢好差，同我感覺一樣，早知黎呢度睇咗先，咁就唔駛中伏！,1.0,1,1,1,不予置評
區嘉麗醫生,"Dr AU KA LAI, KELLY",婦產科,Babycc,需預約準時,婦科疾病,~ $ 400,初次光顧,2016年10月11日,態度有失、醫德有損,診証時間極其急趕，快來快去,本人絕對不會再作光顧,本你是用醫療卡睇症，預約時已經覺得奇怪，一般婦科醫生都不是即book即睇，偏偏呢位醫生是異數，還有上午及下午時段任我選擇。結果，中招後知道了。原來我以為醫生可能覺得用醫療卡，水位不高，所以態度敷衍，儀器落後（好似時光倒退到20-30年前一樣！）但發覺綱內都劣評如潮。所以難怪她拍烏蠅，最差是她沒有心機聽病人的病歷，檢查時根本無heart就段症。不會再光顧，亦不希望有姐妹再中招。,1.0,1,1,1,不予置評
區嘉麗醫生,"Dr AU KA LAI, KELLY",婦產科,IVY,需預約準時,婦科疾病,~ $ 1000,初次光顧,2016年6月17日,態度有失、醫德有損,診証時間極其急趕，快來快去,本人絕對不會再作光顧,"我自己本身就因為個人既月經問題同性交時有痛楚而求醫,我都系第一次去做婦科檢查,入到醫生房,先循例問我有咩唔舒服(態度勁差而且語速又快),唔聽清楚我講既嘢都算,仲要扮晒串去諗住""窒""我,問左我一句'之前有冇做過婦科檢查'之後,咁就好急咁叫我瞓上床度幫我開始檢查,點知,佢乜都冇問過我就插左個銀色既嘢入黎,然後話我知會拎去化驗,跟住就好粗魯咁插支超聲波入黎,(期間佢竟然系度同個登記姑娘講笑),都唔緊要啦,我以為佢會詳細啲同我解釋下啲結構又好點都好,結果就系佢揸住支超聲波系我子宮隊左隊右,話呢兩邊系卵巢,如果性交個陣撞到會痛,我連個螢幕都無得睇,勁快咁就完左所謂既檢查,跟住我望到支棒有血,佢應該見到我個表情然後就即刻話我知因為頭先拎左你子宮既組織去驗,所以會有啲血,正常既,兩三日就無架喇,然後佢就指住幅女性生殖器官既圖講左大概三句左右就岀返去佢張枱,我著返好件條底褲就岀去啦,點知佢系度㩒梗電話,最後仲要系佢望住部iPhone講,""如果你吾想再月經前再有血既話就食避孕丸啦,況且你都要避孕架啦"",但就完全無講過建議我食咩牌子同食咩份量,我個刻真系再問佢都費事,但到我俾錢個刻我就更加嬲,收到咁貴,但啲服務同專業程度差到咁真系令我好唔服!!診金收750,化驗350,超聲波550=$1650我越諗就越覺得我尋日得既服務唔應該系咁,直到我再系網上搵到呢個網..原來可以發表到對醫生既意見,但可惜我太遲..最後都中左呢個伏..by the way,我現時子宮都無原因咁仍然痛緊..如果佢未來呢段日子都唔反省下同改善既話,我相信好快就會流失客源,最後總結,我以後好肯定唔會再去睇呢個所謂既""醫生""!!",1.0,1,1,1,不予置評
區嘉麗醫生,"Dr AU KA LAI, KELLY",婦產科,Wing,不設預約等候片刻,婦科疾病,~ $ 2000,初次光顧,2016年3月3日,診效不顯、收費不稱,診証時間極其急趕，快來快去,本人絕對不會再作光顧,比佢睇醫唔好都算，原來重有好大問題，未問清楚人地用唔用到塞藥就比藥丸，但係醫陰道炎既口服藥傷肝冇講，淨係話副作用大d，同埋會易復發完全無講，就比我食，搞到我要花錢再睇醫生（另一位啦當然），護士明知病人先拿藥，下次來不須付診金，唔講，等我下次黎屈多800，見過醫生就收錢，但佢乜都冇做，問佢預防（係有架），佢竟然話無，我好理由懷疑佢有冇心醫好病人，定係想人一路病落去搵佢比佢屈錢，大把野做搵錢，你何必做醫生，人地病已經慘，重要比你咁搞法，如果人地第時肝有事，係咪你賠錢？？有冇醫德？？有冇良心？？好後悔心急睇病去左間冇人既診所，呢位醫生真係唔岩左婦科專科，呢樣野係要好細心，有醫德既人做，唔好亂來好嗎？婦科病唔會死人，但亂醫有機會，大家揀醫生唔好貪快，booking多少顯示醫生好唔好，揀d要book既，好人睇一定好，呢個區嘉麗，我上過佢診所，無人睇佢架,1.0,1,1,1,不予置評
區嘉麗醫生,"Dr AU KA LAI, KELLY",婦產科,ms chan,需預約準時,婦科疾病,~ $ 2000,再度光顧,2015年12月4日,態度有失、醫德有損,醫護之語調態度令人無所適從,本人絕對不會再作光顧,佢度冇人唔使預約，我都覺得怪，其他好似方幸生full booking，原來先知係伏，份人串都算，收咁貴但睇完都冇好番，第一check完比藥膏，$1xxx，啦啦聲叫你走，第二次8百錢蚊得3日藥（6粒丸），睇完冇好番，仲要就佢放聖誕假等拎報告，真係想問佢有冇理病人感受，婦科炎無好番但冇左一筆錢，個下我真係喊，希望唔好有下個人都中招，btw full booking通常都好過冷清既診所，我見另一個女仔check到發炎就千5，連單都唔比，好可疑既收費，一個字，貴，但醫唔好，白帶重係黃，佢叫我食完藥重有事番去，番去比你屈錢？你番去改善下就差不多啦，區醫生。,1.0,1,1,1,不予置評
區嘉麗醫生,"Dr AU KA LAI, KELLY",婦產科,ms leung,需預約準時,婦科疾病,~ $ 2000,初次光顧,2015年12月19日,診效不顯、收費不稱,診証時間極其急趕，快來快去,本人絕對不會再作光顧,,1.0,1,1,1,不予置評
區嘉麗醫生,"Dr AU KA LAI, KELLY",婦產科,Mrs Lee,需預約準時,婦科疾病,~ $ 100,初次光顧,2012年8月4日,態度有失、醫德有損,診証時間極其急趕，快來快去,本人絕對不會再作光顧,"very careless, bad attitude only one nurse, no one help me to get on and off the exam chair....",1.0,1,1,1,不予置評
區嘉麗醫生,"Dr AU KA LAI, KELLY",婦產科,Crystal,需預約等候片刻,婦科疾病,~ $ 1200,初次光顧,2012年3月30日,診效不顯、收費不稱,只知取藥付費，未能盡釋疑慮,本人絕對不會再作光顧,我是第一次看這位醫生，也是有 BB 後第一次進行體檢，在檢驗期間，個醫生可以完全唔問我任何問題，連更衣及如何坐好以配合檢查都沒有任何指示，只由我自己覺得唔舒服就自已調整位置，我真的非常擔心佢將支超聲波探頭放入時會傷害到 BB。然後到看超聲波時才說了一句：「這是心臟，已在跳動，約六周。」我的身體狀況及感覺完全冇問，只問了一句：「最後的月經日期？」所有胸部及陰部的檢查都一概欠奉，沒有驗血，沒有驗小便，就連體溫都沒有量，全程不用 5 分鐘，然後就叫我出外面等付款，也沒有告訴妳有什麼生理事項要注意，飲食方面有那些要留心。付款時我再向護士追問醫生還沒有向我交代預產期，護士好串咁答：「封信上面有寫架，你自己睇啦！」這算是專業醫生的應有態度嗎？真的很難理解她的執業資格從何而來。另外收費更加離譜，在預約時我已問好價錢，當時護士說：「看醫生收 $600 連藥費，做超聲波收 $400，寫轉介信要另外加收$200，咁有冇問題丫？」我心裡問寫轉介信都要另收費？但以為是規矩，便說 OK！但當看完醫生取藥後，我向護士要求發收據時，她態度十分差地說：「乜你要收據咩？你唔早講？依家唔得閒呀！你等下先啦！」我又等了十分鐘，比看醫生的時間還要長，然後她給我的收據卻寫上：看醫生收 $650，做超聲波收 $450，藥費收 $100，但沒一項為寫轉介信收費，明顯為不恰當的收費隱瞞。要收專業價格，但又冇提供專業服務，應該說就連基本的服務也不能達到，咁係咪可以投訴索償呢？,1.0,1,1,1,不予置評
區嘉麗醫生,"Dr AU KA LAI, KELLY",婦產科,goldfish_yan,,,,,,,,,"完全吾理人第一次有bb,咩都吾知情況下...當然要問佢...態度差..唔耐煩..呼顯...照超聲波...話你知bb有心跳比張相你甘就$1000....走得.....門口姑娘即約你幾號番黎睇過...你估下次仲會吾會幫親你d甘既人?",1.0,1,1,1,不予置評
區嘉麗醫生,"Dr AU KA LAI, KELLY",婦產科,Gigi,,,,,,,,,"態度超差,無耐性向病人解釋問題,句句說話都用好唔耐煩的語氣,令病人聽完無心機再問, 好唔開心....",1.0,1,1,1,不予置評
區嘉麗醫生,"Dr AU KA LAI, KELLY",婦產科,Vivian,,,,,,,,,"大約係2000年至2001年左右(當時我只有23-4歲), 原本是好小事, 只係子宮頸發炎, 但因為佢, 又話子宮頸癌, 一陣又話要做冷凍切片, 一陣又話要電, 攪到我下體大量出血, 入咗幾次醫院, 總之攪到一鑊泡, 前前後後個三個月入咗四次醫院。後來轉咗另一個醫生, 人地一次就攪番好, 根本係好小事。事後乜都唔認, 態度又差, 我當時都有寫信去醫務委員會投訴佢, 封信仲成三頁紙, 但告佢唔入, 不了了之係佢令到我從此之後睇婦科一定唔會睇女醫生!",1.0,1,1,1,不予置評
歐健明醫生,Dr AU KIN MING,骨科,Lik Cheng,需預約準時,骨骼關節,,初次光顧,2016年6月30日,醫術精湛、鉅細無遺,醫生會主動探索其病因及治療,值得向有需要人仕推介,前幾日做gym 整親舊患腰骨，行坐腰骨都很痛，直到今日去找歐醫生，全程感覺他很細心去了解病人情況，分析痛楚原因，對應下藥，最值得欣賞是他說了一句：我多開幾日藥你，你不用跑來跑去來領藥，而且多領的藥不用吃完，情況康復痊愈就可以停止食藥，不用擔心。就這點感覺歐醫生不拖証，收費合理，診金連5天藥$750,10.0,10,10,10,值得推介
歐健明醫生,Dr AU KIN MING,骨科,wayne leung,需預約準時,骨骼關節,~ $ 500,再度光顧,2012年8月3日,態度有失、醫德有損,醫護之語調態度令人無所適從,本人絕對不會再作光顧,"very cocky, I asked him to remove my cast as I got my operation in other country. He not only denied but also said something bad about the ability of the doctor who performed the operation for me.  Then, he did try to persuade me to get other pricey test, CT scan which I think it is unnecessary.  Why he did that?  Because he would get more rebate from the lab besides the consulation fee.  Do not bother wasting money seeing doctors in HK as the vast majority of them simply try to rip patients off. Poor HK people who have to wait too long to see docs in govt clinics.",1.0,1,1,1,不予置評
歐健明醫生,Dr AU KIN MING,骨科,Eric,,,,,,,,,期實我好想睇阿歐醫生，無奈我致電預約期間，嗰個姓戚嘅垃圾護士勁不耐煩、態度差，有呢啲不知所謂嘅護士真係覺得間診所慘、醫生真係請錯咗佢，所以我轉咗睇另一醫生,1.0,1,1,1,不予置評
歐健明醫生,Dr AU KIN MING,骨科,CPLI (6021),,,,,,,,,患“彈弓手指”差不多一個月，經中醫施針未效，見網上歐醫生屢獲病人好評，遂去求診。歐醫生經驗老到，解釋詳盡仔細，即時注射類固醇針及給五天葯，收費十分公道。現經三天己痊癒八成，謝謝。,9.0,9,9,9,不予置評
歐健明醫生,Dr AU KIN MING,骨科,Leung,,,,,,,,,"有耐性,有什麼問題都願意清楚解釋。",8.0,8,8,8,不予置評
歐健明醫生,Dr AU KIN MING,骨科,Nick,,,,,,,,,"我網球手好痛,看了兩次,情況改善了很多,Thanks",7.6,8,8,7,不予置評
區兆寬醫生,Dr AU SIU FOON,耳鼻喉科,Beatrice,需預約等候頗長,耳鼻喉疾病 長期耳痛,~ $ 1000,朋友介紹推薦,2021年5月10日,態度有失、醫德有損,診証時間極其急趕，快來快去,本人絕對不會再作光顧,醫生態度敷衍傲慢，檢查馬虎。我朋友推薦，但佢超級靚女，身材掂所以醫生對佢特別殷勤。普通人佢只係求求其其，連講多句都費事，5分鐘攪掂。我等嘅時候都有一位靚靚的入去，成半個鐘先出番嚟。,1.0,1,1,1,不予置評
區兆寬醫生,Dr AU SIU FOON,耳鼻喉科,Jonathan Wong,需預約等候片刻,耳鼻喉疾病 耳嗚耳漲,~ $ 1000,其他網絡途徑,2020年12月21日,態度有失、醫德有損,只知取藥付費，未能盡釋疑慮,本人絕對不會再作光顧,以下係我陪朋友看診既經歷：唔想睇咁多字，我可以用５隻字總結：貼錢買難受此醫生衛生意識極度欠佳，在肺炎橫行其間，不但沒有戴配手套為病人看診，洗手亦不用槻液，而且為病人看診放入喉嚨的儀器亦隨便擺放，增加交叉感染風險，奉勸各位在肺炎肆虐期間不要到此看診。另外，此醫生態度很差，經常打段病人講話，更對病人說「都唔知你咁擔心做咩」、「我唔清楚，呢度冇竹得同你照耳，你過對面樓」，完全沒有釋除病人疑慮。最後藥診費盛惠1000大元。,2.0,2,3,1,不予置評
區兆寬醫生,Dr AU SIU FOON,耳鼻喉科,Elena,需預約準時,傷風感冒,,其他網絡途徑,2019年----,有欠詳盡、耽誤病情,求診病人實在太多，等候需時,本人絕對不會再作光顧,因感冒引起鼻水倒流嚴重至聲沙把聲聽唔到於是睇耳鼻喉求衫，開左一個月類固醇，一停藥又複發又開多個月。態度唔好，唔信你講嘅病癥，又質問返你，又话好小事，問佢咩病含含糊糊話鼻炎。如果唔係因為公司醫療plan要有reference letter而reference letter俾左佢，根本唔會睇佢第二次。之後換左第個醫生先知我已經係鼻竇炎！本人細個有鼻敏感，但已經好耐冇發作，只是空氣太差會流一兩滴鼻水。依家因為個感冒引起鼻竇炎，非常之痛苦！如果個醫生認真d詳細d檢查 就唔會拖咁耐！,1.0,1,1,1,值得推介
區兆寬醫生,Dr AU SIU FOON,耳鼻喉科,Lan,需預約等候片刻,耳鼻喉疾病,~ $ 1000,初次光顧,2018年11月21日,態度有失、醫德有損,診証時間極其急趕，快來快去,本人絕對不會再作光顧,本人因在政府醫院求診後發現有鼻竇炎，因政府醫院等候覆診時間太久，而近日發現每每彎腰時單邊鼻會流出清鼻水，而且常頭痛及耳嗚，因此由家庭醫生寫轉介紹去區兆寬醫生求診，但今日去到，區醫生一開始問診已態度輕蔑，我說明病情後，他只問了有冇鼻敏感或藥物敏感，便用電桶好求其地看看我的鼻及喉嚨，然後就講「鼻竇炎係會流鼻水，我估你流咗出黎而家冇鼻竇炎架喇」然後就話開便感藥比我，我心諗「佢靠估？」基本檢查都如此馬虎，看診非常兒戲，全過程沒有3分鐘，是否因為診所收1點，出面還有3到4個人等候而趕收工？完全沒有醫德！！比政府醫院的醫生更惡劣！,1.0,1,1,1,不予置評
區兆寬醫生,Dr AU SIU FOON,耳鼻喉科,Summer,需預約等候片刻,耳鼻喉疾病,~ $ 1000,再度光顧,2018年4月27日,詳盡親切、耐心施診,醫生會清晰明確的講解其病情,值得向有需要人仕推介,十多年前區医生幫我做割扁桃体手术。今次求诊割鼻息肉。手术都做得很好。今次我没有医疗保险，他也会为病人著想，照C T在私人化验所做，较医院做省钱。也很欣赏他在诊所贴通告，70岁以上老人免诊金，回饋社会。,9.6,10,10,9,值得推介
區兆寬醫生,Dr AU SIU FOON,耳鼻喉科,Daniel,需預約等候片刻,耳鼻喉疾病 耳朵聽有問題,,初次光顧,2018年5月18日,有欠詳盡、耽誤病情,只知取藥付費，未能盡釋疑慮,已視為本人的必然選擇,"本人因耳鼻問題求診,醫生先用音义試聽覺，再照照耳朶及鼻,然後話會寫紙你去聴覺測試,姑娘一陣會俾你同約下次覆紾.我問耳朵好似有點壓痛,同有耳屎可否清洗同問有什麼問題,佢話係耳骨退化,但我同佢講左之前醫生話中耳積水, 但係佢話我話係就係啦. 跟住出嚟過程都唔使5分鐘.感覺醫生有啲hea.可能我係比醫療,感覺佢好似推銷我買耳機多啲. 我下次都唔會考慮再睇.唔信嘅可以自己去試吓",3.0,2,2,5,不予置評
區兆寬醫生,Dr AU SIU FOON,耳鼻喉科,Ray,需預約等候片刻,耳鼻喉疾病 中耳炎,~ $ 800,光顧多年,2017年10月6日,詳盡親切、耐心施診,醫生會清晰明確的講解其病情,值得向有需要人仕推介,我耳膜手術後不能埋口，經常發炎，過去3年都係找歐醫生，佢係一個好有心同醫德嘅醫生，收費合理，只不過我用醫療咭，每次只有三日藥，要睇多一兩次至完成抗生素療程。,10.0,10,10,10,值得推介
區兆寬醫生,Dr AU SIU FOON,耳鼻喉科,rabbit,需預約等候片刻,耳鼻喉疾病,~ $ 600,光顧多年,2013年1月18日,醫術精湛、鉅細無遺,醫生會清晰明確的講解其病情,已視為本人的必然選擇,"本人一有喉嚨問題,滿口倉,其他醫生開消炎藥抗生素都不能, 是他能開另類藥物,食了3日就好,沒有延証!醫術高明.",10.0,10,10,10,值得推介
區兆寬醫生,Dr AU SIU FOON,耳鼻喉科,Wong,需預約準時,耳鼻喉疾病,,初次光顧,2012年----,有欠詳盡、耽誤病情,診証時間極其急趕，快來快去,可能人夾人緣自己衡量,做完手術有條線頭留左係喉嚨度....,5.0,5,5,5,不予置評
